product_name,product_price,product_brand,product_image_url,product_url
Burton Cartel X 2021,"€ 479,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304271935_front.jpg-XRbmfq337eMqOzAS1Sjm0u_7_qw/DEELUXE+Deemon+PF+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Burton-Cartel+X+2021+Snowboardbindung-622750/
Burton Ion Boa 2021,"€ 299,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304378534_front.jpg-Vmgdd9SBLdAnSiMu9iHBQ8apuss/Salomon+Pearl+Boa+Snowboard+Boots+2021.jpg?$b1$,/de-AT/product/Burton-Ion+Boa+2021+Snowboardboots-622767/
Vans Standard MTE 2021,"€ 449,95",Vans,//images.blue-tomato.com/is/image/bluetomato/304300181_front.jpg-BbyHCyHhNW2THJyNK5GpFhbHx3Y/Capita+Defenders+Of+Awesome+160+2021+Snowboard.jpg?$b1$,/de-AT/product/Vans-Standard+MTE+2021+Snowboardboots-628311/
Union Flite Pro 2021,"€ 179,95",Union,//images.blue-tomato.com/is/image/bluetomato/303922473_front.jpg-IZiFmPwXprvFllSXv6shBLfqfJw/Burton+Photon+Step+On+2021.jpg?$b1$,/de-AT/product/Union-Flite+Pro+2021+Snowboardbindung-618612/?colid=hazard+yellow
Burton Felix Boa 2021,"€ 159,95",Burton,//images.blue-tomato.com/is/image/bluetomato/302706114_front.jpg-hitTfcJTbtXHobE0YQZk8vTS6Ug/POC+Auric+Cut+Helm.jpg?$b1$,/de-AT/product/Burton-Felix+Boa+2021+Snowboardboots-623037/
Burton Limelight 2020,"€ 339,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304300169_front.jpg-KEdpT4mzFzpeVXXkwHsMcN8sFjE/Capita+Mercury+159+2021+Snowboard.jpg?$b1$,/de-AT/product/Burton-Limelight+2020+Snowboardboots-566982/
DEELUXE Deemon PF 2021,"€ 219,95",DEELUXE,//images.blue-tomato.com/is/image/bluetomato/304272300_front.jpg-1WSjbOaV1ZURr7MskOtbsCaLVjo/DEELUXE+Team+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$,/de-AT/product/DEELUXE-Deemon+PF+2021+Snowboardboots-615572/
Salomon Pearl Boa Snowboard Boots 2021,,Salomon,//images.blue-tomato.com/is/image/bluetomato/304375216_front.jpg-KOS6BhXMRchKBmopR9VCloAhNV4/Jones+Snowboards+Apollo+Snowboard+Bindung+2021.jpg?$b1$,/de-AT/product/Salomon-Pearl+Boa+Snowboard+Boots+2021-630767/
Capita Defenders Of Awesome 160 2021,"€ 309,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304372928_front.jpg-IMT63HE6CV4TDD5_-dLTZS6kwk4/Lib+Tech+Travis+Rice+Pro+Blunt+155+2021+Snowboard.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+160+2021+Snowboard-618462/
Burton Photon Step On 2021,"€ 229,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304300407_front.jpg-T8mS4eRPPGj0u7k_abuRbcGWU9s/Union+Scott+Stevens+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Burton-Photon+Step+On+2021-567091/
POC Auric Cut Helmet,"€ 479,95",POC,//images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg?$b1$,/de-AT/product/POC-Auric+Cut+Helm-416602/
Capita Mercury 159 2021,"€ 409,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304372849_front.jpg-C71h3YbKJa0Qi4MCaYx4lkyu4tc/Gnu+Ladies+Choice+148+5+2021+Snowboard.jpg?$b1$,/de-AT/product/Capita-Mercury+159+2021+Snowboard-618450/
DEELUXE Team ID LTD. PF 2021,"€ 169,95",DEELUXE,//images.blue-tomato.com/is/image/bluetomato/304264956_front.jpg-aldVurR7AY_DADJDFH8TyM-gpug/DC+Phase+2021+Snowboardboots.jpg?$b1$,/de-AT/product/DEELUXE-Team+ID+LTD+PF+2021+Snowboardboots-615588/
Jones Snowboards Apollo Snowboard Bindings 2021,"€ 569,95",Jones Snowboards,//images.blue-tomato.com/is/image/bluetomato/304320574_front.jpg-mKLgdnsk_Wcw4HC8XhyDWNInueo/Nitro+Team+Wide+162+2021+Snowboard.jpg?$b1$,/de-AT/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/
Lib Tech Travis Rice Pro Blunt 155 2021,"€ 289,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304345999_front.jpg-P0gqXxeowu_vkQJCaJgGjkgvxyM/Burton+Ritual+Ltd+Boa+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+155+2021+Snowboard-628751/
Union Scott Stevens 2021,"€ 499,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300184_front.jpg-fsbk-rVjZAIWFvSGyPflFcZS1CU/Capita+Defenders+Of+Awesome+155W+2021+Snowboard.jpg?$b1$,/de-AT/product/Union-Scott+Stevens+2021+Snowboardbindung-618610/
Smith Holt 2 Helmet,"€ 599,95",Smith,//images.blue-tomato.com/is/image/bluetomato/304372981_front.jpg-96m4Hg2nNjZVUatTkBRt-s2jSJM/Lib+Tech+Travis+Rice+Orca+159+2021+Snowboard.jpg?$b1$,/de-AT/product/Smith-Holt+2+Helm-369334/
